Time,Ax,Ay,Az
0.00,-0.98,0.04,-0.10
0.12,-0.98,0.04,-0.10
0.23,-0.98,0.04,-0.10
0.33,-0.98,0.04,-0.10
0.43,-0.98,0.04,-0.10
0.54,-0.98,0.04,-0.10
0.64,-0.98,0.04,-0.10
0.74,-0.98,0.04,-0.10
0.85,-0.98,0.03,-0.10
0.95,-0.98,0.04,-0.11
1.05,-0.98,0.03,-0.10
1.16,-0.98,0.04,-0.11
1.26,-0.98,0.04,-0.10
1.36,-0.98,0.03,-0.10
1.47,-0.98,0.04,-0.10
1.57,-0.98,0.04,-0.10
1.67,-0.98,0.03,-0.11
1.78,-0.98,0.04,-0.10
1.88,-0.98,0.04,-0.10
1.98,-0.98,0.04,-0.11
2.09,-0.98,0.04,-0.10
2.19,-0.98,0.03,-0.10
2.29,-0.98,0.04,-0.11
2.40,-0.98,0.04,-0.10
2.50,-0.98,0.03,-0.10
2.60,-0.98,0.04,-0.10
2.71,-0.98,0.04,-0.10
2.81,-0.98,0.03,-0.10
2.91,-0.98,0.04,-0.10
3.02,-0.98,0.03,-0.10
3.12,-0.97,0.03,-0.10
3.22,-0.98,0.04,-0.11
3.33,-0.98,0.04,-0.10
3.43,-0.98,0.04,-0.11
3.53,-0.98,0.04,-0.11
3.64,-0.98,0.03,-0.10
3.74,-0.98,0.03,-0.10
3.84,-0.98,0.04,-0.10
3.95,-0.98,0.04,-0.10
4.05,-0.98,0.03,-0.10
4.15,-0.98,0.03,-0.10
4.26,-0.98,0.04,-0.11
4.36,-0.98,0.03,-0.10
4.46,-0.98,0.04,-0.10
4.57,-0.98,0.04,-0.10
4.67,-0.99,0.04,-0.10
4.77,-0.98,0.04,-0.10
4.88,-0.98,0.04,-0.11
4.98,-0.98,0.03,-0.11
5.08,-0.98,0.04,-0.10
5.19,-0.98,0.04,-0.10
5.29,-0.98,0.04,-0.11
5.39,-0.98,0.03,-0.10
5.50,-0.98,0.03,-0.11
5.60,-0.98,0.03,-0.10
